tree,time,species,mpa_mean,date,img_date,lat,lon,slope,aspect,elevation,twi,cwc,species_date
2025,pd,blue oak,-1.0305,2022-04-27,2022-04-29,3842219.8649604386,770168.7195580832,14.563714981079102,291.9818420410156,364.7462158203125,4.426228046417236,0.1511616762481891,blue oak_20220429
2026,pd,blue oak,-1.209,2022-04-27,2022-04-29,3842116.5414041854,770179.2362666926,8.044902801513672,356.95062255859375,373.7835998535156,3.2644379138946533,0.1504266051154392,blue oak_20220429
2027,pd,blue oak,-1.28133333333333,2022-04-27,2022-04-29,3842089.660181702,770198.8470827716,4.028956413269043,23.721773147583008,377.00433349609375,3.11399245262146,0.1701734522065423,blue oak_20220429
2028,pd,blue oak,-1.216,2022-04-27,2022-04-29,3842112.9553768705,770133.3646807799,8.776127815246582,251.54087829589844,364.98779296875,4.385159492492676,0.1548853272823067,blue oak_20220429
2030,pd,live oak,-0.758,2022-04-27,2022-04-29,3842079.463226943,770109.0436991954,15.078035354614258,141.8335723876953,359.7864685058594,3.5152034759521484,0.1301947927140476,live oak_20220429
2031,pd,blue oak,-0.899,2022-04-27,2022-04-29,3842031.121296633,770065.5634672197,13.613422393798828,103.7840805053711,364.5049133300781,3.5001893043518066,0.1316915958211322,blue oak_20220429
2085,pd,blue oak,-1.044,2022-04-27,2022-04-29,3845787.113203011,770925.5063533382,3.102768659591675,94.80382537841797,350.55633544921875,2.986316442489624,0.1704768348365688,blue oak_20220429
2086,pd,blue oak,-0.852666666666667,2022-04-27,2022-04-29,3845800.022638708,771013.0801580055,4.605114459991455,236.951904296875,346.6817321777344,3.864161491394043,0.1660208404878909,blue oak_20220429
2088,pd,blue oak,-0.842333333333333,2022-04-27,2022-04-29,3845738.5959707634,770971.6469903064,3.16324520111084,99.98506927490234,347.31048583984375,5.0607380867004395,0.1323510542320126,blue oak_20220429
2089,pd,live oak,-0.838,2022-04-27,2022-04-29,3845828.1878654226,770989.6006160546,2.474752902984619,235.92982482910156,348.0101013183594,5.354251384735107,0.17393685961764,live oak_20220429
2090,pd,blue oak,-1.1926,2022-04-27,2022-04-29,3845803.2238885397,771037.1070148803,3.977919816970825,184.42666625976562,347.2339782714844,6.48179292678833,0.1595307107799913,blue oak_20220429
2091,pd,live oak,-0.5792,2022-04-27,2022-04-29,3845736.009779009,771053.2060033656,10.935460090637207,252.95315551757812,344.0130310058594,5.843490123748779,0.2557603426177665,live oak_20220429
2092,pd,live oak,-1.261,2022-04-27,2022-04-29,3845770.5970204086,771054.2466160919,2.324345827102661,142.81455993652344,345.68963623046875,4.737328052520752,0.1684358930103146,live oak_20220429
2093,pd,live oak,-0.7785,2022-04-27,2022-04-29,3845765.4723470304,770989.0937598734,7.302548885345459,101.9521713256836,347.05120849609375,3.92455792427063,0.2072844279572036,live oak_20220429
2343,pd,blue oak,-1.15466666666667,2022-04-25,2022-04-29,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1494450248119435,blue oak_20220429
2343,pd,blue oak,-1.15466666666667,2022-04-27,2022-04-29,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1494450248119435,blue oak_20220429
2345,pd,live oak,-0.7015,2022-04-25,2022-04-29,3842819.410464055,770551.6542048007,3.7216432094573975,66.43873596191406,298.0292663574219,5.549602508544922,0.1760396748886932,live oak_20220429
2346,pd,blue oak,-2.00033333333333,2022-04-25,2022-04-29,3842818.620288688,770530.7437404594,8.620896339416504,80.43647766113281,301.6935119628906,5.40877103805542,0.0927431313502912,blue oak_20220429
2346,pd,blue oak,-2.00033333333333,2022-04-27,2022-04-29,3842818.620288688,770530.7437404594,8.620896339416504,80.43647766113281,301.6935119628906,5.40877103805542,0.0927431313502912,blue oak_20220429
2347,pd,blue oak,-1.36066666666667,2022-04-27,2022-04-29,3842821.9474929953,770534.618939464,14.138113975524902,74.47760772705078,300.81121826171875,5.014035701751709,0.114288707744375,blue oak_20220429
2347,pd,blue oak,-1.36066666666667,2022-04-25,2022-04-29,3842821.9474929953,770534.618939464,14.138113975524902,74.47760772705078,300.81121826171875,5.014035701751709,0.114288707744375,blue oak_20220429
2352,pd,live oak,-1.64725,2022-04-25,2022-04-29,3842694.44851666,770457.1169144753,18.02770233154297,76.3608627319336,327.0509033203125,5.7274699211120605,0.1452807538397544,live oak_20220429
2354,pd,live oak,-1.4596,2022-04-25,2022-04-29,3842702.4929138217,770468.4856790062,13.7903413772583,76.88644409179688,323.6942138671875,6.313199520111084,0.1474116175480042,live oak_20220429
2360,pd,blue oak,-1.485,2022-04-25,2022-04-29,3842685.740289078,770480.3164760385,17.082120895385742,14.946581840515137,325.5127258300781,4.261250019073486,0.1260810671622781,blue oak_20220429
2365,pd,blue oak,-1.402,2022-04-25,2022-04-29,3842682.7928433325,770487.738654878,14.470216751098633,37.29794692993164,325.7925720214844,4.028781890869141,0.1178552646426193,blue oak_20220429
2365,pd,blue oak,-1.402,2022-04-27,2022-04-29,3842682.7928433325,770487.738654878,14.470216751098633,37.29794692993164,325.7925720214844,4.028781890869141,0.1178552646426193,blue oak_20220429
2367,pd,blue oak,-1.546,2022-04-25,2022-04-29,3842680.3079404114,770491.3439046902,14.820075988769531,40.066287994384766,326.06890869140625,3.956448554992676,0.1060591478618037,blue oak_20220429
2367,pd,blue oak,-1.546,2022-04-27,2022-04-29,3842680.3079404114,770491.3439046902,14.820075988769531,40.066287994384766,326.06890869140625,3.956448554992676,0.1060591478618037,blue oak_20220429
2369,pd,blue oak,-1.50533333333333,2022-04-27,2022-04-29,3842682.2826072043,770497.4596093234,13.564927101135254,42.96775817871094,324.6953125,4.422366619110107,0.129123266949068,blue oak_20220429
2369,pd,blue oak,-1.50533333333333,2022-04-25,2022-04-29,3842682.2826072043,770497.4596093234,13.564927101135254,42.96775817871094,324.6953125,4.422366619110107,0.129123266949068,blue oak_20220429
2370,pd,blue oak,-1.3795,2022-04-25,2022-04-29,3842822.742039254,770590.3820635877,1.497539758682251,51.37413787841797,297.1021423339844,5.040881156921387,0.1163095529613498,blue oak_20220429
2371,pd,blue oak,-0.952333333333333,2022-04-25,2022-04-29,3842809.3436882882,770599.6635204358,8.93326473236084,333.9516906738281,298.18975830078125,4.5228095054626465,0.1428699024446114,blue oak_20220429
2372,pd,blue oak,-1.307,2022-04-25,2022-04-29,3842796.9373405864,770597.4318932275,19.376266479492188,316.6675109863281,300.46685791015625,3.779353618621826,0.1555793909858202,blue oak_20220429
2375,pd,blue oak,-1.3405,2022-04-25,2022-04-29,3842841.662256633,770548.2806712184,6.574037075042725,88.62297821044922,299.27203369140625,4.315788269042969,0.1420854220053512,blue oak_20220429
2377,pd,live oak,-1.307,2022-04-25,2022-04-29,3842721.117892731,770447.3485779759,20.52639389038086,108.26918029785156,330.2503662109375,5.004858493804932,0.1318529866219694,live oak_20220429
2378,pd,blue oak,-1.5095,2022-04-25,2022-04-29,3842706.3048667223,770431.4874262032,20.201580047607422,88.1844482421875,335.1392517089844,4.839040756225586,0.085880213478272,blue oak_20220429
2379,pd,blue oak,-1.246,2022-04-25,2022-04-29,3842718.762542985,770424.6065615476,14.368938446044922,104.83562469482422,336.7255859375,6.090522289276123,0.1023921515477393,blue oak_20220429
2380,pd,live oak,-0.9764,2022-04-25,2022-04-29,3842742.2450609184,770416.533794289,17.24186134338379,125.40898132324219,343.03912353515625,3.6746983528137207,0.1602130153758735,live oak_20220429
2381,pd,blue oak,-1.26233333333333,2022-04-25,2022-04-29,3842615.7424280806,770449.2496938936,1.6352629661560059,31.893390655517578,347.7327575683594,4.04353666305542,0.1356743179661271,blue oak_20220429
2382,pd,blue oak,-1.20466666666667,2022-04-25,2022-04-29,3842623.708082137,770430.901875031,11.187259674072266,22.302350997924805,347.7055969238281,3.066199541091919,0.1320824410537718,blue oak_20220429
2383,pd,blue oak,-1.349,2022-04-25,2022-04-29,3842574.732663635,770468.9795939735,8.068461418151855,23.5974178314209,352.62774658203125,3.0262880325317383,0.1574403715590476,blue oak_20220429
2384,pd,blue oak,-1.64,2022-04-25,2022-04-29,3842622.15922021,770457.7845647724,16.642770767211914,62.24200439453125,346.73309326171875,3.1442887783050537,0.1220614030524199,blue oak_20220429
2343,pd,blue oak,-1.51633333333333,2022-05-04,2022-05-03,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1194336325557667,blue oak_20220503
2346,pd,blue oak,-1.90175,2022-05-04,2022-05-03,3842818.620288688,770530.7437404594,8.620896339416504,80.43647766113281,301.6935119628906,5.40877103805542,0.093789220366434,blue oak_20220503
2347,pd,blue oak,-1.5664,2022-05-04,2022-05-03,3842821.9474929953,770534.618939464,14.138113975524902,74.47760772705078,300.81121826171875,5.014035701751709,0.0992117363518409,blue oak_20220503
2365,pd,blue oak,-1.35666666666667,2022-05-04,2022-05-03,3842682.7928433325,770487.738654878,14.470216751098633,37.29794692993164,325.7925720214844,4.028781890869141,0.1029252522403883,blue oak_20220503
2367,pd,blue oak,-1.678,2022-05-04,2022-05-03,3842680.3079404114,770491.3439046902,14.820075988769531,40.066287994384766,326.06890869140625,3.956448554992676,0.125462234393097,blue oak_20220503
2369,pd,blue oak,-1.693,2022-05-04,2022-05-03,3842682.2826072043,770497.4596093234,13.564927101135254,42.96775817871094,324.6953125,4.422366619110107,0.1168953324145212,blue oak_20220503
2009,pd,blue oak,-1.66266666666667,2022-05-09,2022-05-11,3842837.804065467,770521.5291933517,12.890545845031738,126.32971954345703,303.9501037597656,4.679945468902588,0.0663625635020812,blue oak_20220511
2010,pd,blue oak,-1.49625,2022-05-09,2022-05-11,3842636.453227339,770422.4966147648,12.375821113586426,38.94542694091797,346.6065673828125,3.498260736465454,0.1159571750118439,blue oak_20220511
2011,pd,blue oak,-1.583,2022-05-09,2022-05-11,3842618.087957907,770474.5217839779,19.920413970947266,62.8661003112793,342.77642822265625,4.13200044631958,0.1556723690161615,blue oak_20220511
2020,pd,blue oak,-1.52875,2022-05-09,2022-05-11,3842206.7545231823,770184.4116592902,2.2719569206237793,280.9188232421875,367.0904541015625,3.4878063201904297,0.0996177401364509,blue oak_20220511
2021,pd,blue oak,-1.28033333333333,2022-05-09,2022-05-11,3842253.5487391567,770179.4622990222,3.028519630432129,326.8507385253906,364.4018249511719,3.7247769832611084,0.1307752197971029,blue oak_20220511
2022,pd,live oak,-1.344,2022-05-09,2022-05-11,3842285.2167453594,770167.0398695478,9.910367012023926,273.6779479980469,361.5818176269531,3.9038188457489014,0.1493497832586288,live oak_20220511
2023,pd,live oak,-1.22185714285714,2022-05-09,2022-05-11,3842305.4374996363,770165.5213605766,5.939506530761719,236.98934936523438,363.12994384765625,3.3984107971191406,0.172657973487515,live oak_20220511
2024,pd,blue oak,-1.346,2022-05-09,2022-05-11,3842320.5324214306,770167.5473082233,3.7948966026306152,135.37745666503906,364.2284240722656,3.2029755115509033,0.0933107977848097,blue oak_20220511
2025,pd,blue oak,-1.70942857142857,2022-05-09,2022-05-11,3842219.8649604386,770168.7195580832,14.563714981079102,291.9818420410156,364.7462158203125,4.426228046417236,0.1034290585576625,blue oak_20220511
2027,pd,blue oak,-1.78025,2022-05-09,2022-05-11,3842089.660181702,770198.8470827716,4.028956413269043,23.721773147583008,377.00433349609375,3.11399245262146,0.157350591739571,blue oak_20220511
2028,pd,blue oak,-1.9845,2022-05-09,2022-05-11,3842112.9553768705,770133.3646807799,8.776127815246582,251.54087829589844,364.98779296875,4.385159492492676,0.1455284873847813,blue oak_20220511
2029,pd,live oak,-1.869,2022-05-09,2022-05-11,3842098.9855914465,770137.8627027004,13.93212890625,218.30865478515625,364.2732238769531,4.415594100952148,0.1421254960772429,live oak_20220511
2030,pd,live oak,-1.26025,2022-05-09,2022-05-11,3842079.463226943,770109.0436991954,15.078035354614258,141.8335723876953,359.7864685058594,3.5152034759521484,0.1339238578622625,live oak_20220511
2031,pd,blue oak,-1.683,2022-05-09,2022-05-11,3842031.121296633,770065.5634672197,13.613422393798828,103.7840805053711,364.5049133300781,3.5001893043518066,0.1225119862673927,blue oak_20220511
2301,pd,live oak,-1.87833333333333,2022-05-09,2022-05-11,3842757.476780254,770574.9574476053,15.997138977050781,330.92376708984375,304.7059020996094,5.836775302886963,0.1742626183788432,live oak_20220511
2331,pd,live oak,-1.26966666666667,2022-05-09,2022-05-11,3842747.2112320093,770594.4815571127,25.47771453857422,303.7754211425781,313.16717529296875,3.4534921646118164,0.0945218502285687,live oak_20220511
2343,pd,blue oak,-1.48633333333333,2022-05-09,2022-05-11,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1235519744661592,blue oak_20220511
2345,pd,live oak,-0.845571428571429,2022-05-09,2022-05-11,3842819.410464055,770551.6542048007,3.7216432094573975,66.43873596191406,298.0292663574219,5.549602508544922,0.155450653835001,live oak_20220511
2346,pd,blue oak,-1.90625,2022-05-09,2022-05-11,3842818.620288688,770530.7437404594,8.620896339416504,80.43647766113281,301.6935119628906,5.40877103805542,0.0664721166524819,blue oak_20220511
2347,pd,blue oak,-1.5556,2022-05-09,2022-05-11,3842821.9474929953,770534.618939464,14.138113975524902,74.47760772705078,300.81121826171875,5.014035701751709,0.0679801211038046,blue oak_20220511
2352,pd,live oak,-1.75383333333333,2022-05-09,2022-05-11,3842694.44851666,770457.1169144753,18.02770233154297,76.3608627319336,327.0509033203125,5.7274699211120605,0.143390263439304,live oak_20220511
2354,pd,live oak,-1.98933333333333,2022-05-09,2022-05-11,3842702.4929138217,770468.4856790062,13.7903413772583,76.88644409179688,323.6942138671875,6.313199520111084,0.1449127320987394,live oak_20220511
2364,pd,blue oak,-1.53,2022-05-09,2022-05-11,3842684.152804058,770487.0949587252,16.241016387939453,14.919768333435059,325.73797607421875,4.028781890869141,0.0960730319294056,blue oak_20220511
2365,pd,blue oak,-1.35666666666667,2022-05-09,2022-05-11,3842682.7928433325,770487.738654878,14.470216751098633,37.29794692993164,325.7925720214844,4.028781890869141,0.0960730319294056,blue oak_20220511
2367,pd,blue oak,-1.678,2022-05-09,2022-05-11,3842680.3079404114,770491.3439046902,14.820075988769531,40.066287994384766,326.06890869140625,3.956448554992676,0.0914594572056763,blue oak_20220511
2369,pd,blue oak,-1.693,2022-05-09,2022-05-11,3842682.2826072043,770497.4596093234,13.564927101135254,42.96775817871094,324.6953125,4.422366619110107,0.1127510453775034,blue oak_20220511
2371,pd,blue oak,-1.265,2022-05-09,2022-05-11,3842809.3436882882,770599.6635204358,8.93326473236084,333.9516906738281,298.18975830078125,4.5228095054626465,0.1238961592277899,blue oak_20220511
2372,pd,blue oak,-1.851,2022-05-09,2022-05-11,3842796.9373405864,770597.4318932275,19.376266479492188,316.6675109863281,300.46685791015625,3.779353618621826,0.1357393921135124,blue oak_20220511
2375,pd,blue oak,-1.55616666666667,2022-05-09,2022-05-11,3842841.662256633,770548.2806712184,6.574037075042725,88.62297821044922,299.27203369140625,4.315788269042969,0.084747187295642,blue oak_20220511
2377,pd,live oak,-0.583333333333333,2022-05-09,2022-05-11,3842721.117892731,770447.3485779759,20.52639389038086,108.26918029785156,330.2503662109375,5.004858493804932,0.087846973568624,live oak_20220511
2378,pd,blue oak,-1.55,2022-05-09,2022-05-11,3842706.3048667223,770431.4874262032,20.201580047607422,88.1844482421875,335.1392517089844,4.839040756225586,0.0709934614530067,blue oak_20220511
2379,pd,blue oak,-1.62533333333333,2022-05-09,2022-05-11,3842718.762542985,770424.6065615476,14.368938446044922,104.83562469482422,336.7255859375,6.090522289276123,0.1192306770386858,blue oak_20220511
2380,pd,live oak,-0.515,2022-05-09,2022-05-11,3842742.2450609184,770416.533794289,17.24186134338379,125.40898132324219,343.03912353515625,3.6746983528137207,0.1839366828130201,live oak_20220511
2381,pd,blue oak,-2.36075,2022-05-09,2022-05-11,3842615.7424280806,770449.2496938936,1.6352629661560059,31.893390655517578,347.7327575683594,4.04353666305542,0.1426677574282176,blue oak_20220511
2382,pd,blue oak,-1.65333333333333,2022-05-09,2022-05-11,3842623.708082137,770430.901875031,11.187259674072266,22.302350997924805,347.7055969238281,3.066199541091919,0.1019978675697263,blue oak_20220511
2383,pd,blue oak,-1.58975,2022-05-09,2022-05-11,3842574.732663635,770468.9795939735,8.068461418151855,23.5974178314209,352.62774658203125,3.0262880325317383,0.1658812989768938,blue oak_20220511
2384,pd,blue oak,-1.803,2022-05-09,2022-05-11,3842622.15922021,770457.7845647724,16.642770767211914,62.24200439453125,346.73309326171875,3.1442887783050537,0.111515110491325,blue oak_20220511
1478,pd,blue oak,-1.55266666666667,2022-05-25,2022-05-29,3843327.1463400787,770220.5190413787,0.43839049339294434,222.53501892089844,308.1258850097656,5.197696208953857,0.0679865867738209,blue oak_20220529
2004,pd,blue oak,-1.81766666666667,2022-05-25,2022-05-29,3843453.826576832,770225.7175033602,5.929095268249512,228.28466796875,340.70220947265625,3.7622313499450684,0.0570558620724702,blue oak_20220529
2005,pd,blue oak,-1.72933333333333,2022-05-25,2022-05-29,3843456.0828919737,770197.5756267894,34.375816345214844,251.17344665527344,332.0501708984375,6.039501190185547,0.0611368333778765,blue oak_20220529
2006,pd,blue oak,-1.767,2022-05-25,2022-05-29,3843515.343848026,770175.277448283,24.7520751953125,227.16531372070312,333.15667724609375,5.3816704750061035,0.1378381779614777,blue oak_20220529
2007,pd,blue oak,-1.67233333333333,2022-05-25,2022-05-29,3843541.7895171787,770165.9691541858,8.987707138061523,186.69668579101562,341.0130310058594,5.175328731536865,0.0999851305716219,blue oak_20220529
2008,pd,blue oak,-1.736,2022-05-25,2022-05-29,3843556.437346407,770155.2415549286,8.635082244873047,234.01527404785156,341.71331787109375,4.699260234832764,0.0197008849561957,blue oak_20220529
2009,pd,blue oak,-1.789,2022-05-23,2022-05-17,3842837.804065467,770521.5291933517,12.890545845031738,126.32971954345703,303.9501037597656,4.679945468902588,0.0949603444596209,blue oak_20220517
2010,pd,blue oak,-1.486,2022-05-23,2022-05-17,3842636.453227339,770422.4966147648,12.375821113586426,38.94542694091797,346.6065673828125,3.498260736465454,0.1087855252347252,blue oak_20220517
2011,pd,blue oak,-1.728,2022-05-23,2022-05-17,3842618.087957907,770474.5217839779,19.920413970947266,62.8661003112793,342.77642822265625,4.13200044631958,0.1452129885545801,blue oak_20220517
2012,pd,blue oak,-2.607,2022-05-25,2022-05-29,3843407.8663449273,770179.0182394916,9.73424243927002,199.77268981933594,310.64068603515625,5.209740161895752,0.1149472823953355,blue oak_20220529
2015,pd,blue oak,-1.982,2022-05-25,2022-05-29,3843472.0838140585,770133.5885934872,6.583279132843018,206.4998321533203,312.03271484375,6.785527229309082,0.0934093581333123,blue oak_20220529
2020,pd,blue oak,-1.775,2022-05-25,2022-05-29,3842206.7545231823,770184.4116592902,2.2719569206237793,280.9188232421875,367.0904541015625,3.4878063201904297,0.1127162816039159,blue oak_20220529
2021,pd,blue oak,-1.65,2022-05-25,2022-05-29,3842253.5487391567,770179.4622990222,3.028519630432129,326.8507385253906,364.4018249511719,3.7247769832611084,0.0832615784959228,blue oak_20220529
2022,pd,live oak,-1.455,2022-05-25,2022-05-29,3842285.2167453594,770167.0398695478,9.910367012023926,273.6779479980469,361.5818176269531,3.9038188457489014,0.1446081744019566,live oak_20220529
2023,pd,live oak,-1.30166666666667,2022-05-25,2022-05-29,3842305.4374996363,770165.5213605766,5.939506530761719,236.98934936523438,363.12994384765625,3.3984107971191406,0.1409889654112273,live oak_20220529
2024,pd,blue oak,-1.7,2022-05-25,2022-05-29,3842320.5324214306,770167.5473082233,3.7948966026306152,135.37745666503906,364.2284240722656,3.2029755115509033,0.0665093459274335,blue oak_20220529
2025,pd,blue oak,-1.5,2022-05-25,2022-05-29,3842219.8649604386,770168.7195580832,14.563714981079102,291.9818420410156,364.7462158203125,4.426228046417236,0.1020135582735946,blue oak_20220529
2026,pd,blue oak,-2.05333333333333,2022-05-25,2022-05-29,3842116.5414041854,770179.2362666926,8.044902801513672,356.95062255859375,373.7835998535156,3.2644379138946533,0.1139198763058252,blue oak_20220529
2027,pd,blue oak,-1.985,2022-05-25,2022-05-29,3842089.660181702,770198.8470827716,4.028956413269043,23.721773147583008,377.00433349609375,3.11399245262146,0.1596683570303795,blue oak_20220529
2028,pd,blue oak,-1.775,2022-05-25,2022-05-29,3842112.9553768705,770133.3646807799,8.776127815246582,251.54087829589844,364.98779296875,4.385159492492676,0.1393578203091521,blue oak_20220529
2029,pd,live oak,-1.394,2022-05-25,2022-05-29,3842098.9855914465,770137.8627027004,13.93212890625,218.30865478515625,364.2732238769531,4.415594100952148,0.1472223109690172,live oak_20220529
2030,pd,live oak,-1.37625,2022-05-25,2022-05-29,3842079.463226943,770109.0436991954,15.078035354614258,141.8335723876953,359.7864685058594,3.5152034759521484,0.1354157343510371,live oak_20220529
2031,pd,blue oak,-1.9125,2022-05-25,2022-05-29,3842031.121296633,770065.5634672197,13.613422393798828,103.7840805053711,364.5049133300781,3.5001893043518066,0.111829657853543,blue oak_20220529
2085,pd,blue oak,-1.52,2022-05-25,2022-05-29,3845787.113203011,770925.5063533382,3.102768659591675,94.80382537841797,350.55633544921875,2.986316442489624,0.15209926467706,blue oak_20220529
2086,pd,blue oak,-1.55366666666667,2022-05-25,2022-05-29,3845800.022638708,771013.0801580055,4.605114459991455,236.951904296875,346.6817321777344,3.864161491394043,0.1403164234869206,blue oak_20220529
2087,pd,blue oak,-1.55,2022-05-25,2022-05-29,3845750.0172845935,771008.6692691762,6.869565963745117,16.942001342773438,345.4873046875,5.597348213195801,0.1319480554296349,blue oak_20220529
2088,pd,blue oak,-1.36766666666667,2022-05-25,2022-05-29,3845738.5959707634,770971.6469903064,3.16324520111084,99.98506927490234,347.31048583984375,5.0607380867004395,0.1594175026268313,blue oak_20220529
2089,pd,live oak,-1.04466666666667,2022-05-25,2022-05-29,3845828.1878654226,770989.6006160546,2.474752902984619,235.92982482910156,348.0101013183594,5.354251384735107,0.1612208425380873,live oak_20220529
2090,pd,blue oak,-1.97875,2022-05-25,2022-05-29,3845803.2238885397,771037.1070148803,3.977919816970825,184.42666625976562,347.2339782714844,6.48179292678833,0.1335702176232526,blue oak_20220529
2091,pd,live oak,-0.583666666666667,2022-05-25,2022-05-29,3845736.009779009,771053.2060033656,10.935460090637207,252.95315551757812,344.0130310058594,5.843490123748779,0.2297007684827247,live oak_20220529
2092,pd,live oak,-1.09083333333333,2022-05-25,2022-05-29,3845770.5970204086,771054.2466160919,2.324345827102661,142.81455993652344,345.68963623046875,4.737328052520752,0.1562297557361124,live oak_20220529
2093,pd,live oak,-0.820833333333333,2022-05-25,2022-05-29,3845765.4723470304,770989.0937598734,7.302548885345459,101.9521713256836,347.05120849609375,3.92455792427063,0.1967950111617778,live oak_20220529
2301,pd,live oak,-1.5725,2022-05-23,2022-05-17,3842757.476780254,770574.9574476053,15.997138977050781,330.92376708984375,304.7059020996094,5.836775302886963,0.1482970131070611,live oak_20220517
2331,pd,live oak,-1.898,2022-05-23,2022-05-17,3842747.2112320093,770594.4815571127,25.47771453857422,303.7754211425781,313.16717529296875,3.4534921646118164,0.0973938173219452,live oak_20220517
2343,pd,blue oak,-1.9245,2022-05-23,2022-05-17,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1191206858188686,blue oak_20220517
2343,pd,blue oak,-1.9245,2022-05-25,2022-05-29,3842800.802879876,770531.352001393,18.103609085083008,77.6594467163086,303.2978820800781,4.328408718109131,0.1191206858188686,blue oak_20220529
2345,pd,live oak,-0.716,2022-05-23,2022-05-17,3842819.410464055,770551.6542048007,3.7216432094573975,66.43873596191406,298.0292663574219,5.549602508544922,0.1613757065427841,live oak_20220517
2346,pd,blue oak,-2.0605,2022-05-23,2022-05-17,3842818.620288688,770530.7437404594,8.620896339416504,80.43647766113281,301.6935119628906,5.40877103805542,0.1006631652436548,blue oak_20220517
2346,pd,blue oak,-2.0605,2022-05-25,2022-05-29,3842818.620288688,770530.7437404594,8.620896339416504,80.43647766113281,301.6935119628906,5.40877103805542,0.1006631652436548,blue oak_20220529
2347,pd,blue oak,-1.934,2022-05-23,2022-05-17,3842821.9474929953,770534.618939464,14.138113975524902,74.47760772705078,300.81121826171875,5.014035701751709,0.0760296880294609,blue oak_20220517
2347,pd,blue oak,-1.934,2022-05-25,2022-05-29,3842821.9474929953,770534.618939464,14.138113975524902,74.47760772705078,300.81121826171875,5.014035701751709,0.0760296880294609,blue oak_20220529
2352,pd,live oak,-1.412,2022-05-23,2022-05-17,3842694.44851666,770457.1169144753,18.02770233154297,76.3608627319336,327.0509033203125,5.7274699211120605,0.1301624948273079,live oak_20220517
